"id","date","type","feature_type","feature_subtype","description","detail","lon","lat"
27,2021-07-12 16:53:56,"hazard-concern","side walk infrastructure issue","obstruction - vegetaion that narrows pathway","Blackberry bushes growing onto the sidewalk.","obstruction - vegetaion that narrows pathway",-123.409433979908,48.4583907256536
29,2021-07-21 23:39:35,"hazard-concern","side walk infrastructure issue","too narrrow","Way too narrow.","too narrrow",-123.424953422817,48.4506142589816
30,2021-07-23 00:37:16,"hazard-concern","safety/comfort concern","other","Litter and garbage cans take up the sidewalk and the streets are somewhat dirty even after the passage of the garbage truck/cleaner truck","safety/comfort concern (other)",-73.7185425437638,45.530141961002
32,2021-07-23 15:47:55,"hazard-concern","safety/comfort concern","vehicles - number makes uncomfortable","There is too many cars that are unpredictably circulating in search of a parking spot","vehicles - number makes uncomfortable",-73.6158084386362,45.5352494752415
40,2021-05-12 17:15:00,"hazard-concern","side walk infrastructure issue","obstruction - parked vehicles or delivery vans","Amazon delivery van parks on sidewalk and bike lane here.","obstruction - parked vehicles or delivery vans",-123.41028003713,48.4583421545592
132,2021-09-01 20:02:08,"hazard-concern","crossing issue","signal - wait time to cross too long","Too long","signal - wait time to cross too long",-123.031407740369,49.2835390502064
136,2021-09-02 04:15:01,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Lack of marked crossing","drivers don't stop or yield to pedestrians",-123.507363179456,48.4372378950424
140,2021-09-02 04:23:08,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","Lack of separation and allocation of road space for pedestrians. No traffic calming measures in place ","vehicles - speed makes uncomfortable",-123.460143556992,48.428061396661
144,2021-09-02 14:48:59,"hazard-concern","side walk infrastructure issue","obstruction - uneven sidewalk (eg. roots, holes, cracks)","Sidewalk is in poor repair. ","obstruction - uneven sidewalk (eg. roots, holes, cracks)",-72.1395185435416,45.6610559358836
154,2021-09-04 01:00:56,"hazard-concern","crossing issue","crosswalk needed","Blind crossing with cars and vegetation blocking visibility. No paint markings.","crosswalk needed",-123.535225821417,48.4196033646732
156,2021-09-04 01:00:56,"hazard-concern","safety/comfort concern","other","Blind and wide intersection crossing with overgrown vegetation. fast  turning vehicles.","safety/comfort concern (other)",-123.53305542232,48.419197085226
158,2021-09-04 01:00:56,"hazard-concern","crossing issue","poor visibility of pedestrians","Lack of marked crossing and overgrown vegetation ","poor visibility of pedestrians",-123.53286156476,48.4248148457526
164,2021-09-04 01:00:56,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","School zone","drivers don't stop or yield to pedestrians",-123.408199380983,48.4254537068897
168,2021-09-06 22:54:24,"hazard-concern","side walk infrastructure issue","obstruction - inadequate or lack of safe detour for pedestrians","Construction of car dealership blocks sidewalk - no sidewalk available on the other side of the road. Alternate route is too steep to use a wheelchair safely on. ","obstruction - inadequate or lack of safe detour for pedestrians",-123.497740216263,48.4440530176176
231,2021-09-20 18:57:46,"hazard-concern","crossing issue","conflict with vehicles turning right","Crossing only on one side of the street. ","conflict with vehicles turning right",-52.7357959632358,47.5702561291714
241,2021-10-09 22:30:00,"hazard-concern","crossing issue","signal - pedestrian interval too short","Many seniors live close by (e.g., Highgate Lodge) and need to cross, often with walkers. The crossing time is too short for them. I've seen other pedestrians, concerned for their safety, escorting them across.","signal - pedestrian interval too short",-123.332995283686,48.4612665868817
242,2021-10-09 22:30:00,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Eastbound drivers often do not stop for the red light at Shelbourne when they are turning right (south) onto Shelbourne creating a hazard for people crossing Shelbourne. They also pull out into the intersection quite a ways (poor site lines) to check for southbound traffic as they are turning and don't see pedestrians crossing Shelbourne (southside).","drivers don't stop or yield to pedestrians",-123.33299644172,48.4612519967671
243,2021-10-16 20:30:00,"hazard-concern","safety/comfort concern","other users - dogs","Large off-leash dog jumped up at me as I approached. Owners were indifferent to their dog's bad behaviour and excused it as being 'excitable'.","other users - dogs",-123.494715747257,48.4899474928733
246,2021-10-18 23:10:21,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","The cycle path is in marked","drivers don't stop or yield to pedestrians",-0.0741519657947991,51.4821584356008
248,2021-10-18 23:19:14,"hazard-concern","crossing issue","conflict with vehicles turning left","There is a permissive yellow at this intersection (for motorists turning left from Raleigh Rd onto Burning Tree Dr) in effect while the pedestrian signal is active. A rise in the road limits the motorists' view of oncoming traffic, which results in them making turns hastily and not taking time to look for pedestrians. This is in an elementary school walk zone at the head of a multiuse path.","conflict with vehicles turning left",-79.0188253289818,35.9064722912306
249,2021-10-18 23:19:14,"hazard-concern","crossing issue","crosswalk needed","There are no crosswalks at this four way stop. Three of the parcels are town-owned, including a playground, picnic area, and tennis courts. Drivers routinely blow through the intersection, making it a dangerous place for kids trying to access the public amenities here. The intersection is also in a walk zone for an elementary school.","crosswalk needed",-79.0218214884943,35.9107315099265
250,2021-10-18 19:00:00,"hazard-concern","crossing issue","poor visibility of pedestrians","The extra lanes at this intersection and shape of the road curve result in cars moving far too fast turning onto Mill Rd. with school and city bus stops at this crossing and many pedestrians. My family has had many scary encounters with fast cars coming dangerously close to us.","poor visibility of pedestrians",-77.0674875172681,38.8023883721599
